Modelo; Tiempo de ejecución; Número de puntos
person_0089.pcd;2147.87;58075
person_0090.pcd;2338.54;64181
person_0091.pcd;2230.51;60295
person_0092.pcd;1128.82;32338
person_0094.pcd;1387.03;31381
person_0095.pcd;1806.42;48069
person_0096.pcd;1879.61;49459
person_0097.pcd;1519.97;42053
person_0098.pcd;1676.14;47679
person_0099.pcd;2200.31;59390
person_0100.pcd;2170.07;58597
person_0102.pcd;1735.16;48186
person_0103.pcd;1677.46;44625
person_0104.pcd;2290.47;59734
person_0105.pcd;2047.87;53296
person_0106.pcd;1296.9;35112
person_0107.pcd;1165.06;24727
person_0108.pcd;1754.15;46962
